10.000000 Inf Nan 
20.000000 Inf Nan 
30.000000 1.312000 0.085000 
40.000000 1.051000 0.072000 
50.000000 1.084000 0.069000 
60.000000 0.919000 0.060000 
70.000000 0.900000 0.058000 
80.000000 0.814000 0.053000 
90.000000 0.858000 0.059000 
100.000000 0.798000 0.048000 
110.000000 0.771000 0.059000 
120.000000 0.783000 0.051000 
130.000000 0.730000 0.038000 
140.000000 0.618000 0.031000 
150.000000 0.652000 0.036000 
160.000000 0.628000 0.046000 
170.000000 0.599000 0.034000 
180.000000 0.573000 0.034000 
190.000000 0.587000 0.041000 
200.000000 0.523000 0.027000 
